Year,POLY_ID,dens_sm,pupratio,lin_dens,trend5yr,Sect_ID
2012.0,771o,0.067385,0.15873,2.31746,-0.033512,9.0
2012.0,769o,0.067385,0.170543,2.396825,-0.035795,9.0
2012.0,767o,0.067385,0.178808,2.825397,-0.037984,9.0
2012.0,765o,0.041727,0.171975,2.920635,-0.039987,9.0
2012.0,763o,0.041727,0.193103,2.746032,-0.041539,9.0
2012.0,761o,0.0,0.198718,2.968254,-0.042488,9.0
2012.0,759o,0.0,0.177215,2.952381,-0.042849,9.0
2012.0,757o,0.0,0.189189,2.793651,-0.042707,9.0
2012.0,755o,0.0,0.240437,3.603175,-0.041969,9.0
2012.0,753o,0.0,0.248649,3.666667,-0.040717,9.0
2012.0,751o,0.0,0.263736,3.650794,-0.038932,9.0
2012.0,749o,0.0,0.257282,4.111111,-0.036569,9.0
2012.0,747o,0.0,0.246377,4.095238,-0.034157,9.0
2012.0,745o,0.0,0.237069,4.555556,-0.031938,9.0
2012.0,743o,0.0,0.234615,5.095238,-0.030074,9.0
2012.0,740o,0.0,0.246964,4.888889,-0.028143,9.0
2012.0,738o,0.0,0.253112,4.793651,-0.026852,9.0
2012.0,736o,0.0,0.267442,5.190476,-0.02541,9.0
2012.0,734n,4.746808,0.236,4.904762,-0.02388,9.0
2012.0,732n,4.040331,0.22807,4.444444,-0.022398,8.0
2012.0,730n,4.130713,0.227848,4.619048,-0.020964,8.0
2012.0,722n,4.765915,0.265116,4.31746,-0.017203,8.0
2012.0,822n,2.716332,0.057377,4.095238,-0.016756,10.0
2012.0,820n,2.874196,0.05303,4.412698,-0.010993,10.0
2012.0,818n,2.959327,0.050179,4.650794,-0.005797,10.0
2012.0,816n,2.934112,0.053957,4.650794,-0.000761,10.0
2012.0,814n,3.048012,0.038314,4.301587,0.004137,10.0
2012.0,812n,4.134866,0.030303,5.396825,0.008817,10.0
2012.0,810n,4.497265,0.040761,6.079365,0.012922,10.0
2012.0,808n,4.58794,0.051075,6.206349,0.016194,10.0
2012.0,802n,4.104404,0.092652,5.428571,0.020277,9.0
2012.0,800n,4.579553,0.10479,5.857143,0.019434,9.0
2012.0,806n,4.437336,0.05571,6.015873,0.018559,9.0
2012.0,804n,3.718704,0.072368,5.174603,0.019926,9.0
2012.0,798n,4.735583,0.123457,5.777778,0.017456,9.0
2012.0,796n,4.893562,0.126154,5.809524,0.014282,9.0
2012.0,793n,4.712911,0.132013,5.444444,0.007725,9.0
2012.0,791n,3.906802,0.157258,4.555556,0.002589,9.0
2012.0,788n,3.485454,0.164179,3.714286,-0.004991,9.0
2012.0,786n,3.293013,0.154255,3.444444,-0.009515,9.0
2012.0,784n,3.30503,0.138889,3.253968,-0.013667,9.0
2012.0,782n,3.289763,0.127778,3.222222,-0.017451,9.0
2012.0,780n,2.212319,0.12381,1.873016,-0.02102,9.0
2012.0,778n,2.315344,0.121212,1.761905,-0.024292,9.0
2012.0,776n,2.15219,0.085106,1.619048,-0.027328,9.0
2012.0,774n,3.005711,0.115702,2.142857,-0.029966,9.0
2012.0,772n,3.167987,0.112,2.206349,-0.032341,9.0
2012.0,770n,3.373998,0.16,2.301587,-0.034687,9.0
2012.0,768n,3.965106,0.175676,2.761905,-0.036897,9.0
2012.0,766n,4.183549,0.181818,2.888889,-0.039012,9.0
2012.0,764n,4.196858,0.180645,2.904762,-0.040847,9.0
2012.0,762n,4.214376,0.196078,2.904762,-0.042086,9.0
2012.0,760n,4.220797,0.187097,2.920635,-0.042751,9.0
2012.0,758n,4.071909,0.196078,2.904762,-0.042837,9.0
2012.0,756n,4.153883,0.203593,3.190476,-0.042385,9.0
2012.0,754n,4.408408,0.236264,3.571429,-0.041432,9.0
2012.0,752n,4.623058,0.253968,3.761905,-0.039882,9.0
2012.0,750n,4.222908,0.245902,3.619048,-0.03781,9.0
2012.0,748n,4.925395,0.242152,4.396825,-0.035356,9.0
2012.0,746n,4.736339,0.247748,4.396825,-0.032998,9.0
2012.0,744n,4.904902,0.242678,4.714286,-0.030956,9.0
2012.0,742n,5.127282,0.243243,5.111111,-0.029326,9.0
2012.0,739n,4.90575,0.247967,4.873016,-0.02751,9.0
2012.0,737n,4.861515,0.252033,4.888889,-0.026162,9.0
